"Collected","GameId","GameState","FinalMessage","Round","Region","Network","StartDate","StartTime","HomeTeam","AwayTeam","HomeScore","AwayScore","Winner"
"04/21/2025 15:02:13","2427537","final","FINAL","First Round","WEST","CBS","03-21-2024","12:15PM ET","Mississippi St.","Michigan St.","51","69","Michigan St."
"04/21/2025 15:02:13","2427532","final","FINAL","First Round","EAST","truTV","03-21-2024","12:40PM ET","BYU","Duquesne","67","71","Duquesne"
"04/21/2025 15:02:13","2427547","final","FINAL","First Round","MIDWEST","TNT","03-21-2024","01:30PM ET","Creighton","Akron","77","60","Creighton"
"04/21/2025 15:02:13","2427541","final","FINAL","First Round","WEST","TBS","03-21-2024","02:00PM ET","Arizona","Long Beach St.","85","65","Arizona"
"04/21/2025 15:02:13","2427536","final","FINAL","First Round","WEST","CBS","03-21-2024","02:47PM ET","North Carolina","Wagner","90","62","North Carolina"
"04/21/2025 15:02:13","2427533","final","FINAL","First Round","EAST","truTV","03-21-2024","03:34PM ET","Illinois","Morehead St.","85","69","Illinois"
"04/21/2025 15:02:13","2427546","final","FINAL","First Round","MIDWEST","TNT","03-21-2024","04:09PM ET","South Carolina","Oregon","73","87","Oregon"
"04/21/2025 15:02:13","2427540","final","FINAL","First Round","WEST","TBS","03-21-2024","04:47PM ET","Dayton","Nevada","63","60","Dayton"
"04/21/2025 15:02:13","2427538","final","FINAL","First Round","MIDWEST","TNT","03-21-2024","06:50PM ET","Texas","Colorado St.","56","44","Texas"
"04/21/2025 15:02:13","2427545","final","FINAL","First Round","SOUTH","CBS","03-21-2024","07:24PM ET","Kentucky","Oakland","76","80","Oakland"
"04/21/2025 15:02:13","2427535","final","FINAL","First Round","EAST","truTV","03-21-2024","07:40PM ET","Iowa St.","South Dakota St.","82","65","Iowa St."
"04/21/2025 15:02:13","2427542","final","FINAL","First Round","MIDWEST","TBS","03-21-2024","07:47PM ET","Gonzaga","McNeese","86","65","Gonzaga"
"04/21/2025 15:02:13","2427539","final","FINAL","First Round","MIDWEST","TNT","03-21-2024","09:28PM ET","Tennessee","Saint Peter's","83","49","Tennessee"
"04/21/2025 15:02:13","2427544","final","FINAL","First Round","SOUTH","CBS","03-21-2024","10:12PM ET","Texas Tech","NC State","67","80","NC State"
"04/21/2025 15:02:13","2427534","final","FINAL","First Round","EAST","truTV","03-21-2024","10:15PM ET","Washington St.","Drake","66","61","Washington St."
"04/21/2025 15:02:13","2427543","final","FINAL","First Round","MIDWEST","TBS","03-21-2024","10:20PM ET","Kansas","Samford","93","89","Kansas"
"04/21/2025 15:02:13","2427553","final","FINAL (OT)","First Round","EAST","CBS","03-22-2024","12:15PM ET","Fla. Atlantic","Northwestern","65","77","Northwestern"
"04/21/2025 15:02:13","2427557","final","FINAL","First Round","WEST","truTV","03-22-2024","12:40PM ET","Baylor","Colgate","92","67","Baylor"
"04/21/2025 15:02:13","2427560","final","FINAL","First Round","EAST","TNT","03-22-2024","01:45PM ET","San Diego St.","UAB","69","65","San Diego St."
"04/21/2025 15:02:13","2427549","final","FINAL","First Round","SOUTH","TBS","03-22-2024","02:00PM ET","Marquette","Western Ky.","87","69","Marquette"
"04/21/2025 15:02:13","2427556","final","FINAL","First Round","WEST","truTV","03-22-2024","03:10PM ET","Clemson","New Mexico","77","56","Clemson"
"04/21/2025 15:02:13","2427552","final","FINAL","First Round","EAST","CBS","03-22-2024","03:15PM ET","UConn","Stetson","91","52","UConn"
"04/21/2025 15:02:13","2427561","final","FINAL","First Round","EAST","TNT","03-22-2024","04:33PM ET","Auburn","Yale","76","78","Yale"
"04/21/2025 15:02:13","2427548","final","FINAL","First Round","SOUTH","TBS","03-22-2024","04:38PM ET","Florida","Colorado","100","102","Colorado"
"04/21/2025 15:02:13","2427559","final","FINAL","First Round","SOUTH","TNT","03-22-2024","07:00PM ET","Nebraska","Texas A&M","83","98","Texas A&M"
"04/21/2025 15:02:13","2427555","final","FINAL","First Round","SOUTH","CBS","03-22-2024","07:10PM ET","Duke","Vermont","64","47","Duke"
"04/21/2025 15:02:13","2427550","final","FINAL","First Round","MIDWEST","TBS","03-22-2024","07:59PM ET","Purdue","Grambling","78","50","Purdue"
"04/21/2025 15:02:13","2427563","final","FINAL","First Round","WEST","truTV","03-22-2024","08:03PM ET","Alabama","Col. of Charleston","109","96","Col. of Charleston"
"04/21/2025 15:02:13","2427558","final","FINAL","First Round","SOUTH","TNT","03-22-2024","09:49PM ET","Houston","Longwood","86","46","Houston"
"04/21/2025 15:02:13","2427554","final","FINAL","First Round","SOUTH","CBS","03-22-2024","09:50PM ET","Wisconsin","James Madison","61","72","James Madison"
"04/21/2025 15:02:13","2427551","final","FINAL","First Round","MIDWEST","TBS","03-22-2024","10:30PM ET","Utah St.","TCU","88","72","Utah St."
"04/21/2025 15:02:13","4e8abf66-2976-4416-841f-22a3487297a7","final","FINAL","First Round","WEST","truTV","03-22-2024","10:57PM ET","Saint Mary's (CA)","Grand Canyon","66","75","Grand Canyon"
"04/21/2025 15:02:13","2429735","final","FINAL","","","","03-23-2024","11:30AM ET","Seton Hall","North Texas","72","58","Seton Hall"
"04/21/2025 15:02:13","2427570","final","FINAL","Second Round","WEST","CBS","03-23-2024","12:45PM ET","Arizona","Dayton","78","68","Arizona"
"04/21/2025 15:02:13","2426905","final","FINAL","","","","03-23-2024","01:00PM ET","Bethune-Cookman","Arkansas St.","85","86","Arkansas St."
"04/21/2025 15:02:13","2429743","final","FINAL","","","","03-23-2024","02:00PM ET","Cincinnati","Bradley","74","57","Cincinnati"
"04/21/2025 15:02:13","2426907","final","FINAL","","","","03-23-2024","03:30PM ET","Chicago St.","UC San Diego","77","75","Chicago St."
"04/21/2025 15:02:13","2427571","final","FINAL","Second Round","MIDWEST","CBS","03-23-2024","03:33PM ET","Kansas","Gonzaga","68","89","Gonzaga"
"04/21/2025 15:02:13","2428061","final","FINAL","","","","03-23-2024","04:00PM ET","Norfolk St.","Alabama A&M","81","66","Norfolk St."
"04/21/2025 15:02:13","2426909","final","FINAL","","","","03-23-2024","05:30PM ET","Delaware St.","Seattle U","66","79","Seattle U"
"04/21/2025 15:02:13","2427566","final","FINAL","Second Round","WEST","CBS","03-23-2024","05:45PM ET","North Carolina","Michigan St.","85","69","North Carolina"
"04/21/2025 15:02:13","2427565","final","FINAL","Second Round","EAST","TNT","03-23-2024","06:15PM ET","Iowa St.","Washington St.","67","56","Iowa St."
"04/21/2025 15:02:13","2428862","final","FINAL","","","","03-23-2024","07:00PM ET","Ohio St.","Virginia Tech","81","73","Ohio St."
"04/21/2025 15:02:13","2427568","final","FINAL (OT)","Second Round","SOUTH","TBS","03-23-2024","07:10PM ET","NC State","Oakland","79","73","NC State"
"04/21/2025 15:02:13","2427567","final","FINAL","Second Round","MIDWEST","CBS","03-23-2024","08:25PM ET","Tennessee","Texas","62","58","Tennessee"
"04/21/2025 15:02:13","2427564","final","FINAL","Second Round","EAST","TNT","03-23-2024","08:49PM ET","Illinois","Duquesne","89","63","Illinois"
"04/21/2025 15:02:13","06c5b447-739d-472a-82f2-1805da284778","final","FINAL (2OT)","Second Round","MIDWEST","TBS","03-23-2024","10:03PM ET","Creighton","Oregon","86","73","Creighton"
"04/21/2025 15:02:13","2426904","final","FINAL","","","","03-24-2024","11:00AM ET","Cleveland St.","Northern Colo.","51","49","Cleveland St."
"04/21/2025 15:02:13","2427572","final","FINAL","Second Round","SOUTH","CBS","03-24-2024","12:10PM ET","Marquette","Colorado","81","77","Marquette"
"04/21/2025 15:02:13","2426906","final","FINAL (OT)","","","","03-24-2024","01:00PM ET","Presbyterian","Montana","79","82","Montana"
"04/21/2025 15:02:13","5254646","final","FINAL","","","","03-24-2024","02:00PM ET","Indiana St.","Minnesota","76","64","Indiana St."
"04/21/2025 15:02:13","2427573","final","FINAL","Second Round","MIDWEST","CBS","03-24-2024","02:47PM ET","Purdue","Utah St.","106","67","Utah St."
"04/21/2025 15:02:13","2426908","final","FINAL","","","","03-24-2024","03:30PM ET","Little Rock","Fairfield","75","82","Fairfield"
"04/21/2025 15:02:13","2429739","final","FINAL","","","","03-24-2024","04:00PM ET","Wake Forest","Georgia","66","72","Georgia"
"04/21/2025 15:02:13","2427575","final","FINAL","Second Round","SOUTH","CBS","03-24-2024","05:15PM ET","Duke","James Madison","93","55","Duke"
"04/21/2025 15:02:13","2426910","final","FINAL","","","","03-24-2024","05:30PM ET","Evansville","Quinnipiac","64","63","Evansville"
"04/21/2025 15:02:13","2427578","final","FINAL","Second Round","WEST","TNT","03-24-2024","06:10PM ET","Baylor","Clemson","64","72","Clemson"
"04/21/2025 15:02:13","2427577","final","FINAL","Second Round","WEST","TBS","03-24-2024","07:10PM ET","Alabama","Grand Canyon","72","61","Alabama"
"04/21/2025 15:02:13","2429741","final","FINAL","","","","03-24-2024","07:30PM ET","South Fla.","VCU","65","70","VCU"
"04/21/2025 15:02:13","2427574","final","FINAL","Second Round","EAST","truTV","03-24-2024","07:55PM ET","UConn","Northwestern","75","58","UConn"
"04/21/2025 15:02:13","2427579","final","FINAL (OT)","Second Round","SOUTH","TNT","03-24-2024","08:55PM ET","Houston","Texas A&M","100","95","Texas A&M"
"04/21/2025 15:02:13","5254648","final","FINAL","","","","03-24-2024","09:00PM ET","Utah","Iowa","91","82","Utah"
"04/21/2025 15:02:13","2429738","final","FINAL","","","","03-24-2024","09:30PM ET","UNLV","Boston College","79","70","UNLV"
"04/21/2025 15:02:13","2427576","final","FINAL","Second Round","EAST","TBS","03-24-2024","10:12PM ET","San Diego St.","Yale","85","57","San Diego St."
"04/21/2025 15:02:13","2427581","final","FINAL","Sweet 16®","WEST","CBS","03-28-2024","07:09PM ET","Arizona","Clemson","72","77","Clemson"
"04/21/2025 15:02:13","2427582","final","FINAL","Sweet 16®","EAST","TBS","03-28-2024","07:39PM ET","UConn","San Diego St.","82","52","UConn"
"04/21/2025 15:02:13","2427580","final","FINAL","Sweet 16®","WEST","CBS","03-28-2024","09:54PM ET","North Carolina","Alabama","87","89","Alabama"
"04/21/2025 15:02:13","0d2ddc68-9f3a-4f11-acb1-b51ec7ce8a61","final","FINAL","Sweet 16®","EAST","TBS","03-28-2024","10:14PM ET","Iowa St.","Illinois","69","72","Illinois"
"04/21/2025 15:02:13","2427585","final","FINAL","Sweet 16®","SOUTH","CBS","03-29-2024","07:09PM ET","Marquette","NC State","58","67","NC State"
"04/21/2025 15:02:13","2427586","final","FINAL","Sweet 16®","MIDWEST","TBS","03-29-2024","07:39PM ET","Purdue","Gonzaga","80","68","Purdue"
"04/21/2025 15:02:13","2427584","final","FINAL","Sweet 16®","SOUTH","CBS","03-29-2024","09:59PM ET","Houston","Duke","51","54","Duke"
"04/21/2025 15:02:13","2427587","final","FINAL","Sweet 16®","MIDWEST","TBS","03-29-2024","10:10PM ET","Tennessee","Creighton","82","75","Tennessee"
"04/21/2025 15:02:13","2427589","final","FINAL","Elite Eight®","EAST","TBS","03-30-2024","06:09PM ET","UConn","Illinois","77","52","UConn"
"04/21/2025 15:02:13","2427588","final","FINAL","Elite Eight®","WEST","TBS","03-30-2024","08:54PM ET","Alabama","Clemson","89","82","Alabama"
"04/21/2025 15:02:13","2427590","final","FINAL","Elite Eight®","MIDWEST","CBS","03-31-2024","02:20PM ET","Purdue","Tennessee","72","66","Purdue"
"04/21/2025 15:02:13","2427591","final","FINAL","Elite Eight®","SOUTH","CBS","03-31-2024","05:10PM ET","Duke","NC State","64","76","NC State"
"04/21/2025 15:02:13","2427593","final","FINAL","FINAL FOUR®","","TBS","04-06-2024","06:09PM ET","Purdue","NC State","63","50","Purdue"
"04/21/2025 15:02:13","2427592","final","FINAL","FINAL FOUR®","","TBS","04-06-2024","08:51PM ET","UConn","Alabama","86","72","UConn"
"04/21/2025 15:02:13","2427594","final","FINAL","Championship","","TBS","04-08-2024","09:20PM ET","UConn","Purdue","75","60","UConn"
